unit,group_name_partner,date_and_time,borough,locationtype,location,event_name,event_type,category,attendance,audience,source,classification
Recreation,Council Member Adrienne Adams,2019-06-01T13:00:00.000,Queens,Park,Baisley Park Extension,District 28 Day,Local Event,Family Festival,190.0,General Public,Sharepoint,Play
Recreation,MOCA Cinema,2018-06-15T20:00:00.000,Manhattan,Park,Columbus Park,Movies Under the Stars: MOCA: The Lego Ninjago Movie,Community Based Event,Mobile Unit,227.0,General Public,Sharepoint,Movies
Recreation,,2019-06-14T20:00:00.000,Bronx,Park,Pelham Parkway,Fantastic Beast: Crimes of Grindelwald,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-08T09:00:00.000,Queens,Park,Roy Wilkins Park,Queens Recreation Pickleball Tournament,Tournament/Competition,Sport,100.0,Seniors;#Adults,Sharepoint,Tier 3
Recreation,Partnership for Parks,2019-06-15T11:00:00.000,Queens,Playground,Astoria Heights Playground,,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Play
Recreation,,2019-06-14T20:00:00.000,Bronx,Park,Joyce Kilmer Park,Ant Man & the Wasp,Community Based Event,Mobile Unit,30.0,General Public,Sharepoint,M.U.T.S
Recreation,Jonathan Adone,2020-08-28T10:00:00.000,Brooklyn,Park,Leif Ericson Park,Pick UP Pickleball,Local Event,Fitness,20.0,Seniors,Sharepoint,Summer 2020
Recreation,,2019-06-09T00:00:00.000,Brooklyn,Park,Bushwick Inlet Park,Bohemian Rhapsody(2018),Community Based Event,Mobile Unit,302.0,General Public,Sharepoint,M.U.T.S
Recreation,"Make Music NY, ACF",2019-06-21T19:00:00.000,Brooklyn,Park,McCarren Park,Summer Solstice,Community Based Event,Arts/Culture,100.0,General Public,Sharepoint,Music
Recreation,,2019-06-22T20:00:00.000,Bronx,Park,Van Cortlandt Park,Creed 2,Community Based Event,Mobile Unit,190.0,General Public,Sharepoint,M.U.T.S
Recreation,Councilman Justin Branan,2019-06-23T20:30:00.000,Brooklyn,Park,Owl's Head Park,ET,Community Based Event,Mobile Unit,300.0,General Public,Sharepoint,M.U.T.S
Recreation,Councilman Cabrera,2018-06-18T20:30:00.000,Bronx,Park,St. James Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,136.0,General Public,Sharepoint,Movies
Recreation,,2019-06-21T20:00:00.000,Bronx,Park,Soundview Park,Spider-Man:Into the Spider-Verse,Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,M.U.T.S
Recreation,"Councilman Justin Branan, Skaterobics",2019-06-15T12:00:00.000,Brooklyn,Park,Shore Park and Parkway,Community Skate,Community Based Event,Sport,160.0,General Public,Sharepoint,Play
Urban Park Rangers,NYC Parks Central Recreation,2019-06-15T11:00:00.000,Manhattan,Park,Central Park,Adventures NYC,Agency Produced Event,Sport,5000.0,Children;#Young Adult;#Adults;#Teens,Sharepoint,
Recreation,,2018-06-15T20:30:00.000,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Black Panther,Community Based Event,Mobile Unit,125.0,General Public,Sharepoint,Movies
Urban Park Rangers,Bayside Historical Society,2019-06-26T17:00:00.000,Queens,Park,Fort Totten Park,Independence Day Celebration at Fort Totten Park,Community Based Event,Family Festival,800.0,General Public,Sharepoint,
Recreation,,2019-06-25T20:00:00.000,Bronx,Park,Williamsbridge Oval Park,Avengers: Infinity Wars,Community Based Event,Mobile Unit,93.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-26T20:00:00.000,Bronx,Park,Henry Hudson Park,Lego Movie: The Second Part,Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-19T12:00:00.000,Bronx,Park,Van Courtlandt Park S,Play at VC,Community Based Event,Mobile Unit,60.0,Children;#General Public,Sharepoint,Play
Recreation,"Skaterobics, Councilman Deutsch",2019-06-27T17:00:00.000,Brooklyn,Park,Kelly Park,Community Roller Skate,Community Based Event,Arts/Culture,500.0,General Public,Sharepoint,Play
Recreation,Councilman Cohen,2018-06-20T20:30:00.000,Bronx,Park,Seton Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,60.0,General Public,Sharepoint,Movies
Recreation,Art Of Brooklyn Film Festival,2019-06-30T20:30:00.000,Brooklyn,Park,Sunset Park,Hip Hop Film Festival,Community Based Event,Mobile Unit,500.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Rory Lancman,2019-06-29T13:00:00.000,Queens,Park,Captain Tilly Park,Family Day at Captain Tilly Park,Local Event,Family Festival,250.0,General Public,Sharepoint,Play
Recreation,Plaza Theatrical,2019-06-23T16:00:00.000,Queens,Park,Beach 17th Street,Wizard of Oz at Beach 17,Agency Produced Event,Performance,120.0,General Public,Sharepoint,Music
Recreation,MOME,2019-06-01T13:00:00.000,Queens,Park,MacDonald Park,Family Fun and Music,Community Based Event,Performance,425.0,General Public,Sharepoint,Music
Recreation,MOME,2019-06-09T15:00:00.000,Queens,Park,St. Albans Park,New York Music Month Concert Series-Reggae,Community Based Event,Performance,175.0,General Public,Sharepoint,Music
Recreation,MOME,2019-06-29T07:00:00.000,Queens,Park,Hunters Point Park South,New York Music Month Concert Series-Celebration of Disco,Community Based Event,Performance,525.0,General Public,Sharepoint,Music
Recreation,MOME,2019-06-15T19:00:00.000,Queens,Park,Gorman Park,New York Music Month Concert Series Latin Music-Orquesta Afinke,Community Based Event,Performance,350.0,General Public,Sharepoint,Music
Recreation,,2019-06-28T20:30:00.000,Bronx,Park,Barretto Point Park,Hotel Transylvania 3: Summer Vacation,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,MOME,2019-06-22T13:00:00.000,Queens,Park,Macneil Park,New York Music Month Concert Series-History of Rock and Roll,Community Based Event,Performance,175.0,General Public,Sharepoint,Music
Recreation,,2019-06-28T20:30:00.000,Bronx,Park,Bill Rainey Park,Capatain Marvel,Community Based Event,Mobile Unit,130.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-18T20:00:00.000,Bronx,Park,Williamsbridge Oval Park,Avengers: Infinity War,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Constantinides,2019-06-27T20:30:00.000,Queens,Park,Louis C. Moser Park,Frozen,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Constantinides,2019-06-22T20:30:00.000,Queens,Park,Astoria Heights Park,Ralph Breaks the Internet,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Kozlowitz,2019-06-26T20:30:00.000,Queens,Park,Yellowstone Park,Small Foot,Community Based Event,Mobile Unit,175.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Dromm; Jackson Heights Beautification Group,2019-06-29T20:30:00.000,Queens,Park,Travers Park,Spider-Man: Into the Spiderverse,Community Based Event,Mobile Unit,300.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Vallone/NEQ Admin,2019-06-21T20:30:00.000,Queens,Park,Flushing Fields,Black Panther,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-22T20:30:00.000,Queens,Park,"Phil ""Scooter"" Rizzuto Park",MUTS - Despicable Me 3,Community Based Event,Mobile Unit,89.0,General Public,Sharepoint,Movies
Recreation,,2019-07-02T20:30:00.000,Queens,Park,Roy Wilkins Park,Jurassic World: Fallen Kingdom,Community Based Event,Mobile Unit,12.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,Brooklyn Sunset Park Recreation,2019-06-06T11:00:00.000,Brooklyn,Park,Sunset Park,Sunset Park Family Day,Agency Produced Event,Family Festival,250.0,General Public,Sharepoint,Dance
Recreation,,2018-06-21T20:30:00.000,Bronx,Park,Harris Park,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,Movies
Recreation,Bayside Historical Society,2019-06-26T18:00:00.000,Queens,Park,Fort Totten,Fire Works at Fort Totten,Local Event,Family Festival,700.0,General Public,Sharepoint,
Recreation,,2019-07-03T20:45:00.000,Queens,Park,Kissena Park,Spider-Man: Into the Spiderverse,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,M.U.T.S
Recreation,Brooklyn Rec,2019-07-02T20:30:00.000,Brooklyn,Park,Prospect Park,"""On The Basis Of Sex"" Movie Night",Community Based Event,Mobile Unit,275.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-16T20:00:00.000,Queens,Park,Edward Byrne,"MUTS "" Ferdinand """,Community Based Event,Mobile Unit,114.0,General Public,Sharepoint,Movies
Recreation,,2018-06-21T20:30:00.000,Bronx,Park,Poe Park,Movies Under The Stars: Justice League,Community Based Event,Mobile Unit,80.0,General Public,Sharepoint,Movies
Recreation,Bike NYC,2019-06-29T11:00:00.000,Queens,Park,Annadale,Learn to Ride,Community Based Event,Sport,34.0,Children,Sharepoint,Play
Urban Park Rangers,Fort Tryon Trust,2019-07-05T19:00:00.000,Manhattan,Park,Fort Tryon Park,Fire Fly PJ Party,Agency Produced Event,Nature,60.0,General Public,Sharepoint,
Recreation,,2018-06-22T20:00:00.000,Queens,Park,John Golden,"MUTS "" Back To The Future """,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,Movies
Recreation,,2019-07-06T20:30:00.000,Bronx,Park,Vidalia Park,Hotel Transylvania 3: Summer Vacation,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,M.U.T.S
Recreation,Councilman Cohen,2018-06-22T20:30:00.000,Bronx,Park,St. James Park,Movies Under The Stars: Thor Ragnarok,Community Based Event,Mobile Unit,39.0,General Public,Sharepoint,Movies
Recreation,,2019-07-05T20:30:00.000,Bronx,Park,Williamsbridge Oval Park,Black Panther,Community Based Event,Mobile Unit,129.0,Teens;#Adults;#Young Adult;#Seniors;#Adaptive,Sharepoint,M.U.T.S
Recreation,Jonathan Adone,2020-08-31T10:00:00.000,Brooklyn,Park,Leif Ericson Park,Pick Up Pickleball,Local Event,Fitness,26.0,Seniors,Sharepoint,Summer 2020
Recreation,CM Koo,2019-07-03T20:45:00.000,Queens,Park,Kissena Park,Spider-Man: Into the Spiderverse,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-23T13:00:00.000,Queens,Park,Beach 17th Street,Wizard of Oz Play,Community Based Event,Mobile Unit,81.0,General Public,Sharepoint,Play
Recreation,Council Member Daneek Miller,2019-06-27T12:00:00.000,Queens,Park,Detective Keith L Williams Park,Family Day Event,Community Based Event,Family Festival,181.0,General Public,Sharepoint,Play
Recreation,,2019-06-28T12:00:00.000,Queens,Park,Kissena Park,Family Day,Community Based Event,Mobile Unit,231.0,General Public,Sharepoint,Play
Recreation,,2019-07-01T00:00:00.000,Brooklyn,Park,Maria Hernandez Park,Spider-Man:Into the Spider-Verse(2018),Community Based Event,Mobile Unit,305.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-03T00:00:00.000,Brooklyn,Park,Cooper Park,Creed 2(2018),Community Based Event,Mobile Unit,157.0,General Public,Sharepoint,M.U.T.S
Recreation,Brooklyn Recreation,2019-07-10T20:45:00.000,Brooklyn,Park,Msgr. McGolrick Park,"Movie Night ""The Boy Who Would Be King""",Community Based Event,Mobile Unit,260.0,General Public,Sharepoint,M.U.T.S
Recreation,FMCP Admin,2019-07-10T20:45:00.000,Queens,Park,Flushing Meadows Corona Park,Ralph Breaks the Internet,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,M.U.T.S
Recreation,Brooklyn Recreation,2019-07-09T20:45:00.000,Brooklyn,Park,Sunset Park,"Movie Night ""Dumbo""",Community Based Event,Mobile Unit,1000.0,General Public,Sharepoint,M.U.T.S
Recreation,Museum of Chinese Americans,2019-06-14T19:00:00.000,Manhattan,Park,Columbus Park,MUTS The Professor,Community Based Event,Mobile Unit,162.0,General Public,Sharepoint,M.U.T.S
Recreation,MOCA Cinema,2018-06-22T18:00:00.000,Manhattan,Park,Columbus Park,Movies Under the Stars: Pushing Hands,Community Based Event,Mobile Unit,77.0,General Public,Sharepoint,Movies
Recreation,,2019-06-12T19:00:00.000,Manhattan,Park,Marcus Garvey Park,MUTS Drumline,Community Based Event,Mobile Unit,85.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-21T20:30:00.000,Staten Island,Park,Willowbrook Park,Aquaman (2018),Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-14T20:30:00.000,Staten Island,Park,Clove Lakes Park,Mamma Mia: Here We Go Again (2018),Community Based Event,Mobile Unit,60.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-22T20:30:00.000,Staten Island,Park,CPL. Thompson Park,Captain America: The First Avenger (2011),Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-15T20:30:00.000,Staten Island,Park,Von Briesen Park,Mary Poppins (2018),Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-03T20:30:00.000,Staten Island,Park,Detective Russel Timoshenko Soccer Field,Ghostbusters (1984),Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-15T20:30:00.000,Staten Island,Park,Conference House Park,Thor (2011),Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,Cherry Orchard Festival,2019-06-28T20:30:00.000,Staten Island,Park,Wolfe's Pond Park,Moscow Does Not Believe in Tears (1980),Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-05T20:45:00.000,Staten Island,Park,Westerleigh Park,Ralph Breaks the Internet (2018),Community Based Event,Mobile Unit,70.0,General Public,Sharepoint,M.U.T.S
Recreation,NYC Parks,2019-07-14T12:00:00.000,Queens,Park,Bayswater Park,City of Water Day,Community Based Event,Mobile Unit,32.0,General Public,Sharepoint,Play
Recreation,,2019-07-09T20:30:00.000,Bronx,Park,Williamsbridge Oval Park,Thor: Ragnarok,Community Based Event,Mobile Unit,170.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-07-11T20:30:00.000,Bronx,Park,Soundview Park,Hotel Transylvania 3: Summer Vactaion,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-10T20:30:00.000,Bronx,Park,Van Cortlandt Park,First Man,Community Based Event,Mobile Unit,40.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,Brooklyn Play Mobile,2019-06-26T10:00:00.000,Brooklyn,Park,Betsey Head Park,Morris Kopplman Early Childhood Center's Fun Day,Community Based Event,Mobile Unit,70.0,Tot;#Children,Sharepoint,Play
Recreation,NYC Parks Summer Sports Experience,2019-07-09T11:00:00.000,Queens,Park,Detective Keith L Williams Park,Summer Sports Experience Sports Clinic: Soccer/ Flag Football,Community Based Event,Sport,70.0,Children;#Teens,Sharepoint,Tier 1
Recreation,,2018-06-02T20:30:00.000,Bronx,Park,Virginia Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Movies
Recreation,NYC Parks,2019-07-17T11:15:00.000,Queens,Park,Frank Principe Park,POP Up Site,Community Based Event,Mobile Unit,34.0,General Public,Sharepoint,Play
Recreation,Councilman Cabrera,2018-06-25T20:30:00.000,Bronx,Park,St. James Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,132.0,General Public,Sharepoint,Movies
Recreation,Council Member Kallos,2019-06-25T19:00:00.000,Manhattan,Park,St. Catherine's Park,MUTS: The Last Jedi,Community Based Event,Mobile Unit,195.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Ayala,2019-06-22T19:00:00.000,Manhattan,Park,Thomas Jefferson Park,MUTS: Aquaman,Community Based Event,Mobile Unit,220.0,General Public,Sharepoint,M.U.T.S
Recreation,PBS,2019-06-26T19:00:00.000,Manhattan,Park,Washington Square Park,MUTS: Stonewall,Community Based Event,Mobile Unit,2100.0,General Public,Sharepoint,M.U.T.S
Recreation,Museum of Chinese in America,2019-06-21T19:00:00.000,Manhattan,Park,Columbus Park,MUTS: The Joy Luck Club,Community Based Event,Mobile Unit,475.0,General Public,Sharepoint,M.U.T.S
Recreation,AC&F,2019-06-27T19:00:00.000,Manhattan,Park,Washington Square Park,MUTS: Rebels on Pointe,Community Based Event,Mobile Unit,550.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-23T20:30:00.000,Bronx,Park,Crotona Park,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,42.0,General Public,Sharepoint,Movies
Recreation,,2019-07-02T19:00:00.000,Manhattan,Park,Washington Square Park,MUTS: The Tango Lesson,Community Based Event,Mobile Unit,350.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-06-29T19:00:00.000,Manhattan,Park,Martin Luther King Jr. Park,MUTS: If Beale Street Could Talk,Community Based Event,Mobile Unit,189.0,General Public,Sharepoint,M.U.T.S
Recreation,Musuem of Chinese in America,2019-06-28T19:00:00.000,Manhattan,Park,Columbus Park,"MUTS: Crazy, Rich Asians",Community Based Event,Mobile Unit,1223.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-12T19:00:00.000,Manhattan,Park,Morningside Park,MUTS: Mamma Mia! Here We Go Again,Community Based Event,Mobile Unit,450.0,General Public,Sharepoint,M.U.T.S
Recreation,Image Nation,2019-07-10T19:00:00.000,Manhattan,Park,Jackie Robinson Park,MUTS: 42,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-16T21:00:00.000,Staten Island,Park,Von Briesen Park,Movies Under the Stars: Cat and the Hat,Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,Movies
Recreation,,2019-07-19T19:00:00.000,Manhattan,Park,J. Hood Wright Park,MUTS: Black Panther,Community Based Event,Mobile Unit,155.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-16T21:00:00.000,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Black Panther,Community Based Event,Mobile Unit,135.0,General Public,Sharepoint,Movies
Recreation,,2019-07-20T19:00:00.000,Manhattan,Park,Tompkins Square Park,MUTS: How to Train Your Dragon 2: The Hidden World,Community Based Event,Mobile Unit,249.0,Children;#Young Adult;#General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-20T20:30:00.000,Bronx,Park,Harris Park,Nancy Drew,Community Based Event,Mobile Unit,30.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,CM Holden,2019-07-18T20:45:00.000,Queens,Park,Juniper Valley Park,The Kid Who Would Be King,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,NEQ Administrator,2019-07-12T20:45:00.000,Queens,Park,Crocheron Park,Captain Marvel,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,M.U.T.S
Recreation,Rockaway Administrator,2019-07-19T20:45:00.000,Queens,Park,Broad Channel Park,Jurassic World: Fallen Kingdom,Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-21T20:45:00.000,Queens,Park,Elmhurst Park,Bumblebee,Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,M.U.T.S
Recreation,Councilman Perkins,2018-06-27T18:00:00.000,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Marshall,Community Based Event,Mobile Unit,42.0,General Public,Sharepoint,Movies
Recreation,Councilman Cohen,2018-06-27T20:30:00.000,Bronx,Park,Seton Park,Movies Under The Stars: Jumanji Welcome To The Jungle,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,Movies
Recreation,Bike New York,2019-07-20T11:00:00.000,Queens,Park,Juniper Valley Park,Learn To Ride,Community Based Event,Performance,47.0,Teens;#Children,Sharepoint,Play
Recreation,,2018-06-27T18:00:00.000,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,115.0,General Public,Sharepoint,Movies
Recreation,Council Member Gibson,2018-06-29T20:30:00.000,Bronx,Park,Mullaly Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,206.0,General Public,Sharepoint,Movies
Recreation,,2018-06-28T20:30:00.000,Bronx,Park,Frank Frisch Field,Movies Under The Stars: Paddington 2,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,Movies
Recreation,NYC Parks,2019-07-24T11:00:00.000,Queens,Park,Queensbridge Park,POP Up Site,Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,Play
Recreation,Bronx River Alliance,2018-06-29T20:30:00.000,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,Movies
Urban Park Rangers,National Parks Service,2019-07-25T13:30:00.000,Queens,Park,Big Egg Marsh Beach 88th Street,Kayaking and Wildlife Viewing,Agency Produced Event,Nature,27.0,General Public,Sharepoint,
Recreation,Councilman Brannan,2019-06-07T00:00:00.000,Brooklyn,Park,Dyker Beach Park,Moana(2016),Community Based Event,Mobile Unit,168.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Vallone & NEQ Administrator,2019-07-25T20:45:00.000,Queens,Park,Macneil Park,Black Panther,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,NYC Parks,2019-07-26T11:00:00.000,Queens,Park,Queensbridge Park,POP Up Site,Community Based Event,Mobile Unit,56.0,General Public,Sharepoint,Play
Recreation,,2019-07-26T20:30:00.000,Bronx,Park,Concrete Plant Park,Spider-Man: Into the Spider-Verse,Community Based Event,Mobile Unit,95.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-07-26T20:30:00.000,Bronx,Park,Macombs Dam Park,Spider-Man: Into the Spider-Verse,Community Based Event,Mobile Unit,125.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2018-05-05T20:00:00.000,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,175.0,General Public,Sharepoint,Movies
Recreation,,2018-06-30T20:30:00.000,Bronx,Park,Macombs Dam Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,203.0,General Public,Sharepoint,Movies
Recreation,,2019-07-13T00:00:00.000,Brooklyn,Park,Maria Hernandez Park,Teen Titans Go! To the Movies(2018),Community Based Event,Mobile Unit,302.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-10T00:00:00.000,Brooklyn,Park,Carroll Park,Pinocchio(1940),Community Based Event,Mobile Unit,156.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-15T00:00:00.000,Brooklyn,Park,Commodore Barry Park,Incredibles 2(2018),Community Based Event,Mobile Unit,205.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-16T00:00:00.000,Brooklyn,Park,Linden Park,Little(2019),Community Based Event,Mobile Unit,197.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-05-18T12:00:00.000,Bronx,Park,Hunts Point Riverside Park,Flotilla,Agency Produced Event,Mobile Unit,25.0,General Public,Sharepoint,Play
Recreation,,2019-05-22T11:00:00.000,Bronx,Park,Orchard Beach,Orchard Beach Opening Ceremony,Agency Produced Event,Mobile Unit,55.0,General Public,Sharepoint,Play
Recreation,,2019-06-01T11:00:00.000,Bronx,Park,Mullaly Park,Outdoors for Autism,Local Event,Mobile Unit,80.0,General Public,Sharepoint,Play
Recreation,,2019-06-06T10:00:00.000,Bronx,Park,Poe Park,Youth Arts Festival,Agency Produced Event,Mobile Unit,84.0,General Public,Sharepoint,Play
Recreation,Councilman Cabrera,2018-06-30T20:30:00.000,Bronx,Park,St. James Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Movies
Recreation,,2019-07-26T10:00:00.000,Manhattan,Park,J. Hood Wright Park,Summer Camp,Agency Produced Event,Mobile Unit,80.0,Children,Sharepoint,Play
Recreation,Sinergia Inc.,2019-06-28T11:00:00.000,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,100.0,Teens;#Children;#Tot,Sharepoint,Play
Recreation,,2018-06-28T20:00:00.000,Manhattan,Park,Chelsea Park,Movies Under the Stars: Captain Underpants: The First Epic Movie,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,Movies
Recreation,Harlem Mother S.A.V.E.,2019-07-16T10:30:00.000,Manhattan,Park,St. Nicholas Park,Play Mobile,Community Based Event,Mobile Unit,80.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Team HUNC Basketball,2019-07-13T11:00:00.000,Manhattan,Park,St. Nicholas Park,Play Mobile,Community Based Event,Mobile Unit,200.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Harlem Mother S.A.V.E.,2019-07-17T14:00:00.000,Manhattan,Park,St. Nicholas Park,Play Mobile,Community Based Event,Mobile Unit,50.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-07-19T10:30:00.000,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,60.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-04-20T12:00:00.000,Manhattan,Park,Chelsea Park,Play Mobile,Community Based Event,Mobile Unit,100.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,HCCI,2019-07-20T10:00:00.000,Manhattan,Park,Jackie Robinson Park,Play Mobile,Community Based Event,Mobile Unit,50.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-07-08T10:30:00.000,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,150.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,MOCA Cinema,2018-06-29T17:00:00.000,Manhattan,Park,Columbus Park,Moca Cinema: The Last Dragon,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,Movies
Recreation,,2019-06-28T16:00:00.000,Bronx,Park,Concrete Plant Park,Community Fridays,Community Based Event,Mobile Unit,25.0,General Public,Sharepoint,Play
Recreation,,2019-06-15T00:00:00.000,Bronx,Park,Poe Park,Hip Hop Family Day,Agency Produced Event,Mobile Unit,202.0,General Public,Sharepoint,Play
Recreation,,2019-06-22T12:30:00.000,Bronx,Park,Williamsbridge Oval Park,Family Fitness Festival,Agency Produced Event,Mobile Unit,100.0,General Public,Sharepoint,Play
Recreation,,2019-06-30T14:00:00.000,Bronx,Park,Tremont Park,Community Festival,Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,Play
Recreation,,2019-06-18T10:00:00.000,Bronx,Park,Melrose Commons Park,Melrose Commons Parks Ribbon Cutting,Agency Produced Event,Mobile Unit,35.0,General Public,Sharepoint,Play
Recreation,,2019-07-24T20:00:00.000,Manhattan,Park,Stuyvesant Square Park,MUTS: Instant Family,Community Based Event,Mobile Unit,273.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-29T20:00:00.000,Manhattan,Park,Fort Tryon Park,Movies Under the Stars: Wonder Woman,Community Based Event,Mobile Unit,375.0,General Public,Sharepoint,Movies
Recreation,,2019-07-25T11:00:00.000,Manhattan,Park,Marcus Garvey Park,Iron Kid,Agency Produced Event,Sport,250.0,Children;#Teens,Sharepoint,
Recreation,,2019-07-27T20:00:00.000,Manhattan,Park,Twenty-Four Sycamores Park,MUTS: Hotel Transylvania 3,Community Based Event,Mobile Unit,121.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-26T20:00:00.000,Manhattan,Park,Morningside Park,MUTS: Mary Poppins Returns,Community Based Event,Mobile Unit,278.0,General Public,Sharepoint,M.U.T.S
