date,borough,location,event_type,category,attendance,audience,classification,time
2019-01-22,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,54.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,AC&F,18:00:00
2019-01-25,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Sport,175.0,Children,Tier 1,15:00:00
2019-01-25,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Sport,175.0,Children,Tier 1,20:00:00
2019-01-25,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,40.0,General Public,,23:00:00
2019-01-25,Manhattan,Highbridge Recreation Center,Open House,Fitness,25.0,"Seniors, Adults",Fitness,05:00:00
2019-01-25,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,40.0,General Public,,18:00:00
2019-01-25,Manhattan,Highbridge Recreation Center,Open House,Fitness,25.0,Seniors;#Adults,Fitness,00:00:00
2019-01-26,Manhattan,Central Park,Agency Produced Event,Family Festival,1000.0,General Public,,16:00:00
2019-01-26,Manhattan,Central Park,Agency Produced Event,Family Festival,1000.0,General Public,,11:00:00
2019-01-27,Staten Island,Susan E. Wagner High School,Community Based Event,Family Festival,55.0,"Children, Young Adult, Adults, Teens, General Public",,18:00:00
2019-01-27,Staten Island,Susan E. Wagner High School,Community Based Event,Family Festival,55.0,Children;#Young Adult;#Adults;#Teens;#General Public,,13:00:00
2019-01-29,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,62.0,Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,AC&F,18:00:00
2019-01-29,Manhattan,Tony Dapolito Recreation Center,Tournament/Competition,Academic/Out of School time,40.0,Children,,15:00:00
2019-01-29,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,62.0,"Young Adult, Adults, Teens, General Public, Seniors, Adaptive",AC&F,23:00:00
2019-01-29,Manhattan,Pelham Fritz Recreation Center,Open House,Fitness,30.0,Adults,Lecture/Panel/Talk,15:00:00
2019-01-29,Manhattan,Pelham Fritz Recreation Center,Open House,Fitness,30.0,Adults,Lecture/Panel/Talk,10:00:00
2019-01-29,Manhattan,Tony Dapolito Recreation Center,Tournament/Competition,Academic/Out of School time,40.0,Children,,20:00:00
2019-01-30,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,24.0,"Children, Young Adult, Adults, Teens, General Public, Seniors, Adaptive",,23:00:00
2019-01-30,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,24.0,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,,18:00:00
2019-02-01,Queens,Al Oerter Recreation Center,Tournament/Competition,Sport,25.0,Seniors,Tier 1,10:00:00
2019-02-01,Queens,Al Oerter Recreation Center,Tournament/Competition,Sport,25.0,Seniors,Tier 1,15:00:00
2019-02-02,Manhattan,J. Hood Wright Recreation Center,Tournament/Competition,Sport,11.0,"Children, Adults, Young Adult, Teens, Seniors",Awards,19:00:00
2019-02-02,Manhattan,J. Hood Wright Recreation Center,Tournament/Competition,Sport,11.0,Children;#Adults;#Young Adult;#Teens;#Seniors,Awards,14:00:00
2019-02-04,Bronx,St. James Recreation Center,Open House,Fitness,60.0,Adaptive,Fitness,10:00:00
2019-02-04,Bronx,St. James Recreation Center,Open House,Fitness,60.0,Adaptive,Fitness,15:00:00
2019-02-06,Manhattan,Alfred E. Smith Recreation Center,Community Based Event,Sport,438.0,Children,Fitness,20:00:00
2019-02-06,Manhattan,Alfred E. Smith Recreation Center,Community Based Event,Sport,438.0,Children,Fitness,15:00:00
2019-02-08,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,81.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-02-08,Queens,Sorrentino Recreation Center,Open House,Arts/Culture,17.0,Young Adult,Music,18:30:00
2019-02-08,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,81.0,Young Adult;#Adults;#Seniors,Dance,18:00:00
2019-02-08,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,120.0,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors,AC&F,16:00:00
2019-02-08,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,120.0,"Children, Young Adult, Adults, Teens, General Public, Seniors",AC&F,21:00:00
2019-02-08,Queens,Sorrentino Recreation Center,Open House,Arts/Culture,17.0,Young Adult,Music,23:30:00
2019-02-09,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Fitness,258.0,General Public,Fitness,05:00:00
2019-02-09,Manhattan,Hansborough Recreation Center,Agency Produced Event,Fitness,519.0,Children;#Young Adult;#Teens;#General Public,Fitness,11:00:00
2019-02-09,Manhattan,Hansborough Recreation Center,Agency Produced Event,Fitness,519.0,"Children, Young Adult, Teens, General Public",Fitness,16:00:00
2019-02-09,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Fitness,258.0,General Public,Fitness,00:00:00
2019-02-13,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,14.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-02-14,Manhattan,Alfred E. Smith Recreation Center,Agency Produced Event,Fitness,278.0,Children,Fitness,00:00:00
2019-02-14,Manhattan,Alfred E. Smith Recreation Center,Agency Produced Event,Fitness,278.0,Children,Fitness,05:00:00
2019-02-14,Bronx,St. James Recreation Center,Open House,Fitness,60.0,"Young Adult, Adults, Seniors, General Public",Fitness,14:00:00
2019-02-14,Bronx,St. James Recreation Center,Open House,Fitness,60.0,Young Adult;#Adults;#Seniors;#General Public,Fitness,09:00:00
2019-02-14,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,14.0,"Young Adult, Adults, Seniors",Dance,00:00:00
2019-02-15,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,18.0,Adults;#Young Adult,,19:00:00
2019-02-15,Manhattan,Tony Dapolito Recreation Center,Agency Produced Event,Family Festival,45.0,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,Dance,17:00:00
2019-02-15,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,30.0,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,,18:00:00
2019-02-15,Manhattan,Tony Dapolito Recreation Center,Agency Produced Event,Family Festival,45.0,"Children, Young Adult, Adults, Teens, Seniors, General Public",Dance,22:00:00
2019-02-15,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,30.0,"Children, Young Adult, Adults, Teens, Seniors, General Public",,23:00:00
2019-02-16,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,4.0,"Tot, Children",,17:00:00
2019-02-16,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,18.0,"Adults, Young Adult",,00:00:00
2019-02-16,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,4.0,Tot;#Children,,12:00:00
2019-02-18,Queens,Lost Battalion Hall Recreation Center,Community Based Event,Sport,30.0,Children;#Teens,Tier 2,11:00:00
2019-02-18,Queens,Lost Battalion Hall Recreation Center,Community Based Event,Sport,30.0,"Children, Teens",Tier 2,16:00:00
2019-02-19,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,20.0,"Young Adult, Adults, Teens, Children",AC&F,23:30:00
2019-02-19,Queens,Al Oerter Recreation Center,Open House,Sport,41.0,Teens,Tier 1,15:00:00
2019-02-19,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,20.0,Young Adult;#Adults;#Teens;#Children,AC&F,18:30:00
2019-02-19,Queens,Al Oerter Recreation Center,Open House,Sport,41.0,Teens,Tier 1,10:00:00
2019-02-20,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,13.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-02-21,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Academic/Out of School time,22.0,"Children, Teens",Play,18:00:00
2019-02-21,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,13.0,"Young Adult, Adults, Seniors",Dance,00:00:00
2019-02-21,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Academic/Out of School time,22.0,Children;#Teens,Play,13:00:00
2019-02-22,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,50.0,General Public,,23:00:00
2019-02-22,Queens,Al Oerter Soccer field 8,Community Based Event,Sport,25.0,Children;#Teens,Tier 2,00:00:00
2019-02-22,Queens,Al Oerter Soccer field 8,Community Based Event,Sport,25.0,"Children, Teens",Tier 2,05:00:00
2019-02-22,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,50.0,General Public,,18:00:00
2019-02-23,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,120.0,General Public,AC&F,16:00:00
2019-02-23,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,120.0,General Public,AC&F,21:00:00
2019-02-26,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,11.0,"Children, Adults, Teens, Young Adult",AC&F,23:30:00
2019-02-26,Manhattan,Highbridge Recreation Center,Agency Produced Event,Fitness,40.0,Young Adult;#Teens;#Adults,Fitness,17:00:00
2019-02-26,Manhattan,Highbridge Recreation Center,Agency Produced Event,Fitness,40.0,"Young Adult, Teens, Adults",Fitness,22:00:00
2019-02-26,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,11.0,Children;#Adults;#Teens;#Young Adult,AC&F,18:30:00
2019-02-27,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,29.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-02-27,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,30.0,General Public,,23:00:00
2019-02-27,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,30.0,General Public,,18:00:00
2019-02-28,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,29.0,"Young Adult, Adults, Seniors",Dance,00:00:00
2019-03-02,Manhattan,Highbridge Recreation Center,Agency Produced Event,Family Festival,80.0,"Children, Tot",Play,16:00:00
2019-03-02,Manhattan,Highbridge Recreation Center,Agency Produced Event,Family Festival,80.0,Children;#Tot,Play,11:00:00
2019-03-06,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,28.0,Young Adult;#Adults,Dance,19:00:00
2019-03-07,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,28.0,"Young Adult, Adults",Dance,00:00:00
2019-03-09,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,32.0,"Adaptive, Seniors, General Public, Adults, Young Adult, Teens",AC&F,15:00:00
2019-03-09,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,32.0,Adaptive;#Seniors;#General Public;#Adults;#Young Adult;#Teens,AC&F,10:00:00
2019-03-13,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,29.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-03-13,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,40.0,Seniors;#Adults,Music,13:00:00
2019-03-13,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,40.0,"Seniors, Adults",Music,17:00:00
2019-03-13,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,29.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-03-15,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,46.0,"Children, Young Adult, Adults, Teens, Seniors, General Public",,22:00:00
2019-03-15,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,46.0,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,,18:00:00
2019-03-15,Manhattan,Highbridge Recreation Center,Tournament/Competition,Sport,18.0,Teens,,22:00:00
2019-03-15,Manhattan,Chelsea Recreation Center,Tournament/Competition,Sport,21.0,Children,Tier 1,21:00:00
2019-03-15,Manhattan,Chelsea Recreation Center,Tournament/Competition,Sport,21.0,Children,Tier 1,17:00:00
2019-03-15,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,22.0,Adults,,19:00:00
2019-03-15,Manhattan,Jackie Robinson Recreation Center,Agency Produced Event,Arts/Culture,22.0,Adults,,23:00:00
2019-03-15,Manhattan,Highbridge Recreation Center,Tournament/Competition,Sport,18.0,Teens,,18:00:00
2019-03-16,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,21.0,"Young Adult, Adults, Teens, Seniors, General Public",AC&F,14:00:00
2019-03-16,Manhattan,Highbridge Recreation Center,Open House,Fitness,45.0,General Public,Fitness,11:00:00
2019-03-16,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,27.0,Adaptive;#Teens;#Adults;#Young Adult;#General Public;#Seniors;#Children,,10:00:00
2019-03-16,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,21.0,Young Adult;#Adults;#Teens;#Seniors;#General Public,AC&F,10:00:00
2019-03-16,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,27.0,"Adaptive, Teens, Adults, Young Adult, General Public, Seniors, Children",,14:00:00
2019-03-16,Manhattan,Highbridge Recreation Center,Open House,Fitness,45.0,General Public,Fitness,15:00:00
2019-03-20,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,25.0,"Adults, Seniors",Music,04:00:00
2019-03-20,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,25.0,Adults;#Seniors,Music,00:00:00
2019-03-21,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,21.0,General Public;#Seniors;#Teens;#Adults;#Adaptive,AC&F,10:00:00
2019-03-21,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,21.0,"General Public, Seniors, Teens, Adults, Adaptive",AC&F,14:00:00
2019-03-22,Manhattan,Tony Dapolito Recreation Center,Tournament/Competition,Sport,66.0,"Children, Teens, General Public",Tier 1,20:00:00
2019-03-22,Manhattan,Tony Dapolito Recreation Center,Tournament/Competition,Sport,66.0,Children;#Teens;#General Public,Tier 1,16:00:00
2019-03-23,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,26.0,"General Public, Adaptive, Adults, Teens, Seniors, Young Adult",AC&F,14:00:00
2019-03-23,Manhattan,Basketball City,Tournament/Competition,Sport,335.0,"Children, Teens, General Public",Tier 1,16:00:00
2019-03-23,Manhattan,Basketball City,Tournament/Competition,Sport,335.0,Children;#Teens;#General Public,Tier 1,12:00:00
2019-03-23,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,26.0,General Public;#Adaptive;#Adults;#Teens;#Seniors;#Young Adult,AC&F,10:00:00
2019-03-24,Queens,Al Oerter Recreation Center,Community Based Event,Sport,200.0,Children;#Teens;#General Public,Tier 1,12:00:00
2019-03-24,Queens,Flushing Meadows Corona Park Pool & Rink,Tournament/Competition,Sport,1047.0,"Children, General Public",Tier 1,13:00:00
2019-03-24,Queens,Al Oerter Recreation Center,Community Based Event,Sport,200.0,"Children, Teens, General Public",Tier 1,16:00:00
2019-03-24,Queens,Flushing Meadows Corona Park Pool & Rink,Tournament/Competition,Sport,1047.0,Children;#General Public,Tier 1,09:00:00
2019-03-27,Manhattan,Hansborough Recreation Center,Agency Produced Event,Academic/Out of School time,57.0,Tot,Play,10:00:00
2019-03-27,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,32.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#General Public;#Seniors,,18:00:00
2019-03-27,Manhattan,Hansborough Recreation Center,Agency Produced Event,Academic/Out of School time,57.0,Tot,Play,14:00:00
2019-03-27,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,28.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-03-27,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,28.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-03-27,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,25.0,Adults;#Seniors,Music,01:00:00
2019-03-27,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,25.0,"Adults, Seniors",Music,05:00:00
2019-03-27,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,32.0,"Children, Young Adult, Adults, Teens, Adaptive, General Public, Seniors",,22:00:00
2019-03-29,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,160.0,"Adults, Young Adult, Seniors, General Public",,20:00:00
2019-03-29,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,18.0,Young Adult;#Adults,Tier 1,18:00:00
2019-03-29,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,44.0,General Public,,18:00:00
2019-03-29,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,160.0,Adults;#Young Adult;#Seniors;#General Public,,16:00:00
2019-03-29,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,44.0,General Public,,22:00:00
2019-03-29,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,62.0,"Adults, Teens, Adaptive, Seniors, General Public",Dance,22:30:00
2019-03-29,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,18.0,"Young Adult, Adults",Tier 1,22:00:00
2019-03-29,Manhattan,Recreation Center 54,Agency Produced Event,Arts/Culture,62.0,Adults;#Teens;#Adaptive;#Seniors;#General Public,Dance,18:30:00
2019-03-30,Manhattan,J. Hood Wright Recreation Center,Agency Produced Event,Family Festival,62.0,"Children, Tot, Teens, General Public",Play,15:00:00
2019-03-30,Manhattan,CUNY Graduate Center,Agency Produced Event,Arts/Culture,14.0,Adults,,14:30:00
2019-03-30,Manhattan,J. Hood Wright Recreation Center,Agency Produced Event,Family Festival,62.0,Children;#Tot;#Teens;#General Public,Play,11:00:00
2019-03-30,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,44.0,General Public;#Adaptive;#Adults;#Seniors;#Teens;#Young Adult,AC&F,10:00:00
2019-03-30,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Fitness,351.0,Children;#Young Adult;#Adults;#Teens;#General Public,Fitness,10:00:00
2019-03-30,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Fitness,351.0,"Children, Young Adult, Adults, Teens, General Public",Fitness,14:00:00
2019-03-30,Manhattan,CUNY Graduate Center,Agency Produced Event,Arts/Culture,14.0,Adults,,10:30:00
2019-03-30,Manhattan,Thomas Jefferson Recreation Center,Agency Produced Event,Arts/Culture,44.0,"General Public, Adaptive, Adults, Seniors, Teens, Young Adult",AC&F,14:00:00
2019-04-03,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,55.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-04-03,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,55.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-04-04,Queens,Al Oerter Recreation Center,Open House,Arts/Culture,30.0,General Public,AC&F,04:00:00
2019-04-04,Queens,Al Oerter Recreation Center,Open House,Arts/Culture,30.0,General Public,AC&F,00:00:00
2019-04-05,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,85.0,General Public,AC&F,22:30:00
2019-04-05,Queens,Lost Battalion Hall Recreation Center,Open House,Arts/Culture,145.0,General Public,AC&F,14:00:00
2019-04-05,Queens,Lost Battalion Hall Recreation Center,Open House,Arts/Culture,145.0,General Public,AC&F,10:00:00
2019-04-05,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,85.0,General Public,AC&F,18:30:00
2019-04-06,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,17.0,"Children, Young Adult, Adults, Teens, Adaptive, Seniors, General Public",,16:00:00
2019-04-06,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,17.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,,12:00:00
2019-04-10,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,60.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-04-10,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,60.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-04-11,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Family Festival,93.0,"Tot, Children, General Public",,15:00:00
2019-04-11,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Family Festival,93.0,Tot;#Children;#General Public,,11:00:00
2019-04-12,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,95.0,General Public,AC&F,18:30:00
2019-04-12,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,95.0,General Public,AC&F,22:30:00
2019-04-12,Manhattan,J. Hood Wright Recreation Center,Agency Produced Event,Fitness,34.0,Young Adult;#Adults;#Seniors;#General Public;#Teens;#Children,Dance,17:30:00
2019-04-12,Manhattan,Hamilton Fish Recreation Center,Agency Produced Event,Arts/Culture,26.0,Teens;#Young Adult;#Adults;#General Public,Lecture/Panel/Talk,18:00:00
2019-04-12,Bronx,Bronx Park,Tournament/Competition,Academic/Out of School time,135.0,Teens,,13:00:00
2019-04-12,Bronx,Bronx Park,Tournament/Competition,Academic/Out of School time,135.0,Teens,,09:00:00
2019-04-12,Manhattan,J. Hood Wright Recreation Center,Agency Produced Event,Fitness,34.0,"Young Adult, Adults, Seniors, General Public, Teens, Children",Dance,21:30:00
2019-04-12,Manhattan,Hamilton Fish Recreation Center,Agency Produced Event,Arts/Culture,26.0,"Teens, Young Adult, Adults, General Public",Lecture/Panel/Talk,22:00:00
2019-04-13,Bronx,Bronx Park,Tournament/Competition,Academic/Out of School time,135.0,Teens,Lecture/Panel/Talk,09:00:00
2019-04-13,Queens,Sorrentino Recreation Center,Open House,Fitness,75.0,General Public,Fitness,10:00:00
2019-04-13,Manhattan,Highbridge Recreation Center,Agency Produced Event,Family Festival,1132.0,"Tot, Children, General Public",,15:00:00
2019-04-13,Queens,Sorrentino Recreation Center,Open House,Fitness,75.0,General Public,Fitness,14:00:00
2019-04-13,Brooklyn,Fort Greene Visitor Center,Local Event,Family Festival,383.0,Adults,Play,15:00:00
2019-04-13,Manhattan,Ruppert Park,Community Based Event,Arts/Culture,50.0,Tot;#Children;#Adults;#General Public,,10:00:00
2019-04-13,Bronx,Bronx Park,Tournament/Competition,Academic/Out of School time,135.0,Teens,Lecture/Panel/Talk,13:00:00
2019-04-13,Manhattan,Highbridge Recreation Center,Agency Produced Event,Family Festival,1132.0,Tot;#Children;#General Public,,11:00:00
2019-04-13,Brooklyn,Fort Greene Visitor Center,Local Event,Family Festival,383.0,Adults,Play,11:00:00
2019-04-13,Manhattan,Ruppert Park,Community Based Event,Arts/Culture,50.0,"Tot, Children, Adults, General Public",,14:00:00
2019-04-15,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Arts/Culture,21.0,"Children, Teens",Lecture/Panel/Talk,21:00:00
2019-04-15,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Arts/Culture,21.0,Children;#Teens,Lecture/Panel/Talk,17:00:00
2019-04-15,Queens,Roy Wilkins Recreation Center,Open House,Arts/Culture,70.0,General Public,AC&F,17:00:00
2019-04-15,Queens,Roy Wilkins Recreation Center,Open House,Arts/Culture,70.0,General Public,AC&F,13:00:00
2019-04-16,Queens,Highland Park,Community Based Event,Academic/Out of School time,70.0,Children,,13:45:00
2019-04-16,Queens,Highland Park,Community Based Event,Academic/Out of School time,70.0,Children,,09:45:00
2019-04-17,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,60.0,Young Adult;#Adults;#Seniors,Dance,19:00:00
2019-04-17,Manhattan,Chelsea Recreation Center,Agency Produced Event,Arts/Culture,60.0,"Young Adult, Adults, Seniors",Dance,23:00:00
2019-04-18,Brooklyn,Red Hook Recreation Center,Local Event,Family Festival,150.0,Children,Play,04:00:00
2019-04-18,Brooklyn,Red Hook Recreation Center,Local Event,Family Festival,150.0,Children,Play,00:00:00
2019-04-19,Manhattan,J. Hood Wright Park,Local Event,Family Festival,355.0,"Children, Young Adult, Adults, Seniors, General Public",,19:30:00
2019-04-19,Manhattan,Tony Dapolito Recreation Center,Agency Produced Event,Family Festival,195.0,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Play,15:30:00
2019-04-19,Manhattan,Thomas Jefferson Recreation Center,Local Event,Family Festival,150.0,Tot;#Children,Play,14:00:00
2019-04-19,Manhattan,Thomas Jefferson Recreation Center,Local Event,Family Festival,150.0,"Tot, Children",Play,18:00:00
2019-04-19,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,25.0,"Children, Young Adult, Adults, Teens, General Public, Seniors, Adaptive",,22:00:00
2019-04-19,Manhattan,Tony Dapolito Recreation Center,Agency Produced Event,Family Festival,195.0,"Tot, Children, Young Adult, Adults, Teens, Adaptive, Seniors, General Public",Play,19:30:00
2019-04-19,Manhattan,J. Hood Wright Park,Local Event,Family Festival,355.0,Children;#Young Adult;#Adults;#Seniors;#General Public,,15:30:00
2019-04-19,Manhattan,Asser Levy Recreation Center,Agency Produced Event,Arts/Culture,25.0,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,,18:00:00
2019-04-20,Staten Island,Ocean Breeze Track & Field Athletic Complex,Community Based Event,Arts/Culture,100.0,General Public,,14:00:00
2019-04-20,Manhattan,Jackie Robinson Recreation Center,Local Event,Family Festival,175.0,"Children, Tot, Teens, Adults, Young Adult",,15:00:00
2019-04-20,Manhattan,Thomas Jefferson Recreation Center,Tournament/Competition,Arts/Culture,13.0,Adults;#Young Adult,,00:00:00
2019-04-20,Manhattan,Highbridge Recreation Center,Open House,Fitness,15.0,General Public,Fitness,11:00:00
2019-04-20,Manhattan,Alfred E. Smith Recreation Center,Open House,Fitness,35.0,"Young Adult, Adults",,14:00:00
2019-04-20,Manhattan,Chelsea Recreation Center,Agency Produced Event,Family Festival,159.0,"Children, Tot",,16:00:00
2019-04-20,Manhattan,Chelsea Park,Community Based Event,Mobile Unit,100.0,"Tot, Children, Teens",Play,16:00:00
2019-04-20,Manhattan,Alfred E. Smith Recreation Center,Open House,Fitness,35.0,Young Adult;#Adults,,10:00:00
2019-04-20,Manhattan,Gertrude Ederle Recreation Center,Local Event,Family Festival,10.0,General Public,,12:00:00
2019-04-20,Manhattan,Chelsea Recreation Center,Agency Produced Event,Family Festival,159.0,Children;#Tot,,12:00:00
2019-04-20,Queens,Jamaica Bay Wildlife Refuge,Agency Produced Event,Family Festival,31.0,Children,Play,10:00:00
2019-04-20,Staten Island,Ocean Breeze Track & Field Athletic Complex,Community Based Event,Arts/Culture,100.0,General Public,,10:00:00
2019-04-20,Manhattan,Gertrude Ederle Recreation Center,Local Event,Family Festival,10.0,General Public,,16:00:00
2019-04-20,Queens,Jamaica Bay Wildlife Refuge,Agency Produced Event,Family Festival,31.0,Children,Play,14:00:00
2019-04-20,Manhattan,Highbridge Recreation Center,Open House,Fitness,15.0,General Public,Fitness,15:00:00
2019-04-20,Manhattan,Jackie Robinson Recreation Center,Local Event,Family Festival,175.0,Children;#Tot;#Teens;#Adults;#Young Adult,,11:00:00
2019-04-20,Manhattan,Thomas Jefferson Recreation Center,Tournament/Competition,Arts/Culture,13.0,"Adults, Young Adult",,04:00:00
