unit,group_name_partner,date_and_time,borough,locationtype,location,event_name,event_type,category,attendance,audience,source,classification
Recreation,NY Presbyterian,2019-03-16T11:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Open House,Fitness,45.0,General Public,Sharepoint,Fitness
Recreation,,2019-01-21T10:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,MLK Jr. Day Art Making,Agency Produced Event,Arts/Culture,40.0,General Public,Sharepoint,
Recreation,,2019-01-20T10:00:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Billiard Tournament,Tournament/Competition,Sport,16.0,Young Adult;#Adults,Sharepoint,Tier 3
Recreation,,2019-06-14T18:00:00.000,Manhattan,Recreation Center,J. Hood Wright Recreation Center,AC&F Jazz: Ed Cherry Trio,Agency Produced Event,Performance,250.0,General Public,Sharepoint,AC&F
Recreation,Strictly Tango,2019-03-06T19:00:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,28.0,Young Adult;#Adults,Sharepoint,Dance
Recreation,,2019-01-25T15:00:00.000,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,P.S. 126/MAT Homecoming Basketball Game,Tournament/Competition,Sport,175.0,Children,Sharepoint,Tier 1
Recreation,Media Education,2019-04-26T18:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,Roc The Mic,Local Event,Performance,18.0,Young Adult;#Children,Sharepoint,Music
Recreation,,2019-01-29T15:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Borough Spelling Bee Contest,Tournament/Competition,Academic/Out of School time,40.0,Children,Sharepoint,
Recreation,,2019-02-26T18:30:00.000,Manhattan,Recreation Center,Jackie Robinson Recreation Center,AC&F: Make your Mark: Character Design Workshop,Agency Produced Event,Arts/Culture,11.0,Children;#Adults;#Teens;#Young Adult,Sharepoint,AC&F
Recreation,,2019-03-29T18:00:00.000,Manhattan,Recreation Center,Jackie Robinson Recreation Center,March Madness: Adults Basketball tournament,Tournament/Competition,Sport,18.0,Young Adult;#Adults,Sharepoint,Tier 1
Recreation,,2018-06-28T19:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars - Pride Series: Saturday Church,Community Based Event,Performance,29.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Movies
Recreation,,2019-02-19T18:30:00.000,Manhattan,Recreation Center,Jackie Robinson Recreation Center,AC&F: Make your Mark: Character Design Workshop,Agency Produced Event,Arts/Culture,20.0,Young Adult;#Adults;#Teens;#Children,Sharepoint,AC&F
Recreation,,2019-01-25T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired By,Agency Produced Event,Arts/Culture,40.0,General Public,Sharepoint,
Recreation,,2019-01-21T10:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,MLK Jr. Day of Service,Community Based Event,Arts/Culture,140.0,General Public,Sharepoint,Lecture/Panel/Talk
Recreation,Mama Foundation,2019-03-20T00:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,25.0,Adults;#Seniors,Sharepoint,Music
Recreation,Mama Foundation,2019-03-13T13:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,40.0,Seniors;#Adults,Sharepoint,Music
Recreation,,2019-02-09T00:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Love Your Body/Fitness Festival,Agency Produced Event,Fitness,258.0,General Public,Sharepoint,Fitness
Recreation,,2019-02-22T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired By Kehinde Wiley,Agency Produced Event,Arts/Culture,50.0,General Public,Sharepoint,
Recreation,Mama Foundation,2019-03-27T01:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,25.0,Adults;#Seniors,Sharepoint,Music
Recreation,,2018-06-21T20:30:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars- Pride Series: God's Own Country,Community Based Event,Performance,89.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Movies
Recreation,,2019-02-23T16:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz and Swing with the Harlem Renaissance Orchestra,Agency Produced Event,Arts/Culture,120.0,General Public,Sharepoint,AC&F
Recreation,,2019-03-29T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Women's History Month: Art Inspired By,Agency Produced Event,Arts/Culture,44.0,General Public,Sharepoint,
Recreation,Harlem Dance Club,2019-06-15T13:30:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance Club Workshop,Local Event,Arts/Culture,155.0,General Public,Sharepoint,Dance
Recreation,,2019-06-20T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Mother's Day Tea Social,Agency Produced Event,Family Festival,15.0,General Public,Sharepoint,
Recreation,,2019-06-06T19:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,The Pelham's Got Talent,Agency Produced Event,Performance,9.0,General Public,Sharepoint,Music
Recreation,,2019-06-19T17:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"The ""Let It Out"" Vogue Fest",Agency Produced Event,Fitness,45.0,General Public,Sharepoint,Dance
Recreation,,2019-06-15T17:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Tonight We Dance: Jazz & Swing,Agency Produced Event,Arts/Culture,750.0,General Public,Sharepoint,AC&F
Recreation,,2019-06-27T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Step Into Dancing Line Dance Event,Agency Produced Event,Fitness,20.0,General Public,Sharepoint,Dance
Recreation,Harlem Dance Club,2019-06-22T13:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance Club Workshop,Local Event,Arts/Culture,65.0,General Public,Sharepoint,Dance
Recreation,,2019-06-29T12:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Ultimate Obstacle Course,Agency Produced Event,Fitness,15.0,Teens,Sharepoint,Play
Recreation,Harlem Dance Club,2019-06-29T13:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance Club Workshop,Local Event,Arts/Culture,130.0,General Public,Sharepoint,Dance
Recreation,,2019-06-28T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired By Thierry Bush,Agency Produced Event,Arts/Culture,18.0,General Public,Sharepoint,
Recreation,,2019-03-16T10:00:00.000,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make Your Mark  Fabric Collages,Agency Produced Event,Arts/Culture,21.0,Young Adult;#Adults;#Teens;#Seniors;#General Public,Sharepoint,AC&F
Recreation,,2019-04-20T00:00:00.000,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Billiards 8 Ball Challenge,Tournament/Competition,Arts/Culture,13.0,Adults;#Young Adult,Sharepoint,
Recreation,,2019-07-25T20:30:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars- Saturday Night Fever,Community Based Event,Arts/Culture,77.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-30T11:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,Summer Fest,Community Based Event,Mobile Unit,56.0,Children;#General Public,Sharepoint,Play
Recreation,Bronx Recreation/Hope For All,2019-08-24T11:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,SUMMERFEST,Community Based Event,Family Festival,400.0,Tot;#Children;#Young Adult;#Adults;#Teens;#General Public;#Adaptive;#Seniors,Sharepoint,AC&F
Recreation,Hunts Point Rec/ Literacy Inc.,2019-07-31T15:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,Literacy Fair,Community Based Event,Academic/Out of School time,100.0,Children;#Tot,Sharepoint,Play
Recreation,,2018-06-27T18:00:00.000,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by Faith Ringgold,Community Based Event,Arts/Culture,30.0,General Public,Sharepoint,Play
Recreation,,2018-06-28T20:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Puppet Mobile,Community Based Event,Mobile Unit,188.0,Children;#Tot;#Adaptive,Sharepoint,Play
Recreation,ACF,2019-08-01T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Make Your Mark- Rooftop Paint Night,Agency Produced Event,Arts/Culture,25.0,Young Adult;#Adaptive;#General Public;#Seniors,Sharepoint,AC&F
Recreation,,2018-06-28T21:00:00.000,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Chicago,Community Based Event,Mobile Unit,10.0,General Public,Sharepoint,Movies
Recreation,,2019-04-27T10:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,Fernando Retirement Block party,Local Event,Family Festival,150.0,General Public,Sharepoint,
Recreation,,2019-04-25T18:00:00.000,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Latin Hustle,Agency Produced Event,Arts/Culture,54.0,General Public,Sharepoint,Dance
Recreation,,2018-07-05T20:30:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,"Movies Under the Starts Throwback Series ""Splash""",Community Based Event,Mobile Unit,92.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Movies
Recreation,AC&F,2019-04-05T18:30:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Mobile Unit Presents The Tempest,Agency Produced Event,Arts/Culture,85.0,General Public,Sharepoint,AC&F
Recreation,,2019-04-25T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz and Swing Tonight We Dance,Agency Produced Event,Arts/Culture,95.0,General Public,Sharepoint,AC&F
Recreation,,2019-04-12T18:30:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,City Center Tap Dance,Agency Produced Event,Arts/Culture,95.0,General Public,Sharepoint,AC&F
Recreation,,2019-08-08T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Make Your Mark- Roof Top Paint Night,Agency Produced Event,Arts/Culture,31.0,General Public,Sharepoint,AC&F
Recreation,,2018-05-10T20:15:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Movies Under the Stars: Selena,Community Based Event,Mobile Unit,35.0,General Public,Sharepoint,Movies
Recreation,,2019-08-09T20:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,MUTS: Avengers: Infinity War,Community Based Event,Arts/Culture,62.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-07-06T20:30:00.000,Bronx,Recreation Center,St. Mary's Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,60.0,General Public,Sharepoint,Movies
Recreation,,2019-08-02T20:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,MUTS: Uncle Drew,Community Based Event,Arts/Culture,20.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-07-20T19:00:00.000,Staten Island,Recreation Center,Greenbelt Recreation Center,Guardians of the Galaxy Vol. 2 (2017),Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-15T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Event Name: Make Your Mark - Rooftop Painting,Community Based Event,Arts/Culture,32.0,General Public,Sharepoint,AC&F
Recreation,Ocean Breeze,2018-05-18T00:00:00.000,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: The Lego Movie,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,Movies
Recreation,Art's Student League,2019-08-22T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Make Your Mark - Rooftop Paint Series,Agency Produced Event,Arts/Culture,37.0,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,Sharepoint,AC&F
Recreation,Jazz Foundation,2019-08-13T14:00:00.000,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Jazz Foundation Performance at LBH,Agency Produced Event,Arts/Culture,40.0,Children,Sharepoint,
Recreation,,2019-08-26T19:45:00.000,Brooklyn,Recreation Center,St. John's Recreation Center,Uncle Drew (2018),Community Based Event,Mobile Unit,59.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2020-05-09T10:00:00.000,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Health and Wellness Fair,Community Based Event,Fitness,1500.0,Tot;#Children;#Adults;#Young Adult;#Teens;#Adaptive;#General Public;#Seniors,Sharepoint,
Public Programs,,2020-07-18T10:00:00.000,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Ocean Breeze Beach Soccer & Food Truck Festival,Community Based Event,Sport,0.0,Children;#Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public,Sharepoint,
Public Programs,,2020-06-20T10:00:00.000,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,,Community Based Event,Family Festival,750.0,General Public;#Seniors;#Teens;#Adults;#Adaptive;#Young Adult;#Children;#Tot,Sharepoint,
Recreation,,2019-08-29T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Rooftop Paint Night,Community Based Event,Arts/Culture,41.0,General Public,Sharepoint,AC&F
Recreation,Art's Student League,2019-09-05T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Make Your Mark - Rooftop Paint Night,Agency Produced Event,Arts/Culture,40.0,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,Sharepoint,AC&F
Recreation,,2019-09-07T11:00:00.000,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Jump into Fall Fitness,Open House,Fitness,30.0,Teens;#Adults;#Young Adult;#Seniors;#General Public,Sharepoint,Fitness
Recreation,ACF Taikoza Drumming Concert,2019-09-03T15:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,ACF Taikoza Drumming Concert,Agency Produced Event,Arts/Culture,18.0,Children;#Tot;#Adults;#Young Adult;#Teens;#General Public;#Adaptive;#Seniors,Sharepoint,Music
Recreation,NY Presbyterian,2019-08-17T11:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Open House,Fitness,23.0,Teens;#Young Adult;#Tot;#Children;#Adults;#General Public;#Adaptive;#Seniors,Sharepoint,Fitness
Recreation,,2019-09-03T16:00:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Back to School Blitz,Community Based Event,Arts/Culture,920.0,Children,Sharepoint,
Public Programs,,2019-09-13T06:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Make Your Mark - Rooftop Painting.,Community Based Event,Arts/Culture,45.0,General Public,Sharepoint,AC&F
Recreation,,2019-08-30T16:30:00.000,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Danceathon: Line Dancing,Community Based Event,Fitness,13.0,General Public,Sharepoint,Dance
Recreation,Basketball city,2018-04-07T00:00:00.000,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Basketball tournament,Tournament/Competition,Sport,15.0,Teens,Sharepoint,Tier 1
Public Programs,,2019-08-28T20:00:00.000,Staten Island,Recreation Center,Greenbelt Recreation Center,Captain Marvel (2019),Community Based Event,Mobile Unit,10.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-21T19:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,MUTS: Keep on Keeping,Community Based Event,Arts/Culture,150.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-16T19:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,MUTS: Spider-Man: Into the Spider-Verse,Community Based Event,Arts/Culture,62.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-23T19:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,MUTS: The Hate U Give,Community Based Event,Arts/Culture,65.0,General Public,Sharepoint,M.U.T.S
Recreation,Strickly Tango,2019-09-19T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Rooftop Tango,Agency Produced Event,Arts/Culture,42.0,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,Sharepoint,Dance
Recreation,,2019-09-20T17:30:00.000,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Danceathon: Latin Night,Community Based Event,Fitness,13.0,General Public,Sharepoint,
Recreation,New York Presbyterian,2019-09-21T23:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness,Community Based Event,Fitness,2.0,General Public,Sharepoint,
Recreation,Strickly Tango,2019-09-26T18:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Rooftop Tango,Agency Produced Event,Arts/Culture,26.0,Young Adult;#Adults;#Seniors;#General Public,Sharepoint,Dance
Recreation,,2019-10-04T09:00:00.000,Bronx,Recreation Center,St. James Recreation Center,Free Spin Classes,Agency Produced Event,Fitness,75.0,Young Adult;#Adults;#Seniors;#General Public,Sharepoint,Fitness
Recreation,,2019-09-30T07:30:00.000,Bronx,Recreation Center,St. James Recreation Center,Fall Fitness Open House Week,Open House,Fitness,100.0,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Fitness
Recreation,,2019-10-04T18:00:00.000,Bronx,Recreation Center,St. James Recreation Center,Ultimate Teen Boot Camp Challenge,Agency Produced Event,Fitness,25.0,Teens,Sharepoint,Fitness
Recreation,,2019-10-31T10:30:00.000,Bronx,Recreation Center,St. James Recreation Center,Toddlers at Parks Halloween Celebration,Agency Produced Event,Family Festival,30.0,Tot,Sharepoint,Play
Recreation,,2019-09-30T18:45:00.000,Brooklyn,Recreation Center,St. John's Recreation Center,The Secret Life of Pets 2 (2019),Community Based Event,Mobile Unit,106.0,General Public,Sharepoint,M.U.T.S
Recreation,Queens College,2019-10-01T12:00:00.000,Queens,Recreation Center,Lost Battalion Hall Recreation Center,NYC Parks Basketball Clinic,Community Based Event,Sport,50.0,Children;#Teens,Sharepoint,Tier 1
Recreation,,2019-10-12T11:00:00.000,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Breast Cancer Awareness,Agency Produced Event,Family Festival,41.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,
Recreation,,2019-10-11T19:00:00.000,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Monster House,Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-10-10T18:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Off The Hook,Agency Produced Event,Fitness,8.0,Young Adult;#Adults;#Seniors;#Teens;#General Public;#Adaptive,Sharepoint,Fitness
Recreation,New York Presbyterian,2019-10-19T11:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Community Based Event,Fitness,20.0,Children;#Adults;#Tot;#Young Adult;#Teens,Sharepoint,
Recreation,,2019-10-31T16:00:00.000,Bronx,Recreation Center,St. James Recreation Center,Annual Haunted House,Community Based Event,Family Festival,400.0,General Public,Sharepoint,Play
Recreation,,2019-10-18T17:00:00.000,Manhattan,Recreation Center,Hansborough Recreation Center,Spooky Paint Night,Local Event,Arts/Culture,28.0,Children;#Adults;#Young Adult;#Teens;#Seniors;#General Public,Sharepoint,
Recreation,New York Presbyterian,2019-10-19T11:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Open House,Fitness,20.0,General Public,Sharepoint,
Recreation,,2019-10-31T17:00:00.000,Bronx,Recreation Center,St. Mary's Recreation Center,Halloween Haunted House,Local Event,Performance,400.0,Children;#Adults;#Young Adult;#Teens;#Seniors;#General Public,Sharepoint,Play
Recreation,Hunts Point Recreation center,2019-10-24T16:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,Halloween Celebration,Local Event,Family Festival,100.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Hunts Point Recreation Staff,2019-10-31T05:00:00.000,Bronx,Recreation Center,Hunts Point Recreation Center,Hunts Point Haunted House 2019,Local Event,Family Festival,800.0,Tot;#Children;#Adults;#Teens;#Young Adult,Sharepoint,Play
Recreation,,2019-10-18T18:00:00.000,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Jacob Lawrence,Community Based Event,Arts/Culture,10.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,AC&F
Recreation,,2019-10-25T19:00:00.000,Brooklyn,Recreation Center,Brownsville Recreation Center,Shocktoberfest: Hotel Transylvania 3 (2018),Community Based Event,Mobile Unit,135.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-10-27T11:00:00.000,Manhattan,Recreation Center,Asser Levy Recreation Center,Asser Levy's Girls Classic Basketball Tournament,Tournament/Competition,Sport,70.0,Teens,Sharepoint,Play
Recreation,,2019-10-29T15:00:00.000,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Afterschool Halloween Party,Community Based Event,Academic/Out of School time,34.0,Children,Sharepoint,
Urban Park Rangers,Ocean Breeze Athletic Complex,2019-10-27T11:00:00.000,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Halloween Family Event,Agency Produced Event,Family Festival,350.0,Tot;#Children;#Adults;#General Public,Sharepoint,
Recreation,Baruch College Tennis. Mens and Womens,2019-10-13T12:00:00.000,Queens,Recreation Center,Al Oerter Recreation Center,Queens Recreation Tennis Clinic,Community Based Event,Sport,45.0,Children;#Teens,Sharepoint,Tier 3
Recreation,Public Theater Mobile Unit,2019-10-29T19:00:00.000,Queens,Recreation Center,A.R.R.O.W. Field House,Public Theater Mobile Unit - Measure for Measure,Local Event,Arts/Culture,70.0,Adults;#Young Adult;#Seniors;#General Public,Sharepoint,AC&F
Recreation,Public Theater Mobile Unit,2019-10-30T13:00:00.000,Queens,Recreation Center,Roy Wilkins Recreation Center,Public Theater Mobile Unit - Measure for Measure,Local Event,Arts/Culture,53.0,Young Adult;#Adults;#Seniors;#General Public,Sharepoint,AC&F
Recreation,,2019-10-29T16:00:00.000,Queens,Recreation Center,Al Oerter Recreation Center,Shocktober Fest,Community Based Event,Family Festival,300.0,General Public,Sharepoint,Play
Recreation,Public Theater Mobile Unit,2019-10-28T13:00:00.000,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Public Theater Mobile Unit - Measure for Measure,Local Event,Arts/Culture,55.0,Adults;#Seniors;#General Public;#Young Adult;#Adaptive,Sharepoint,AC&F
Recreation,,2019-10-25T18:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired By  Simon Weaner/ Sidney Hanson,Local Event,Arts/Culture,18.0,General Public,Sharepoint,AC&F
Recreation,Pelham Fritz Recreation Center,2019-10-19T09:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Celebration In Pink,Local Event,Family Festival,130.0,Children;#Adults;#Young Adult;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Dance
Recreation,,2019-09-27T10:00:00.000,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Friends and Family Day,Local Event,Family Festival,65.0,General Public,Sharepoint,Cool Pools
Recreation,,2019-10-30T11:00:00.000,Manhattan,Recreation Center,Gertrude Ederele,Toddler Halloween Parade,Community Based Event,Family Festival,250.0,Tot;#Children;#General Public,Sharepoint,AC&F
Recreation,,2019-12-27T18:30:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Holiday Movie Night,Agency Produced Event,Family Festival,0.0,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,Movies
Recreation,,2019-09-25T18:00:00.000,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Huipiles,Community Based Event,Arts/Culture,20.0,General Public,Sharepoint,AC&F
Recreation,,2019-10-30T18:00:00.000,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,,Community Based Event,Arts/Culture,18.0,General Public,Sharepoint,AC&F
Recreation,,2018-05-24T15:00:00.000,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Cops VS teens,Tournament/Competition,Sport,16.0,Teens;#Adults;#Young Adult,Sharepoint,Tier 1
Recreation,,2020-01-08T08:30:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Fitness Marathon,Agency Produced Event,Fitness,0.0,Young Adult;#Adults;#Seniors;#Adaptive;#Teens,Sharepoint,Fitness
Recreation,,2019-10-04T12:00:00.000,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Strictly Tango,Community Based Event,Arts/Culture,4.0,General Public,Sharepoint,Dance
Recreation,,2019-11-09T10:00:00.000,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea 2nd Annual PickleBall Tournament,Agency Produced Event,Sport,32.0,Adults;#Seniors,Sharepoint,Tier 3
Recreation,,2019-10-26T12:00:00.000,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Pets Halloween Costume Party,Community Based Event,Family Festival,165.0,General Public,Sharepoint,Play
Recreation,,2019-10-11T12:00:00.000,Manhattan,Recreation Center,Gertrude Ederele,Strictly Tango,Community Based Event,Arts/Culture,10.0,General Public,Sharepoint,Dance
Recreation,,2019-10-18T12:00:00.000,Manhattan,Recreation Center,Gertrude Ederele,Strictly Tango,Community Based Event,Arts/Culture,21.0,General Public,Sharepoint,Dance
Recreation,,2019-11-01T12:00:00.000,Manhattan,Recreation Center,Gertrude Ederele,s,Community Based Event,Arts/Culture,13.0,General Public,Sharepoint,AC&F
Recreation,St. Mary's Senior Marlins,2019-11-20T12:00:00.000,Bronx,Recreation Center,St. Mary's Recreation Center,Senior Giving of Thanks,Local Event,Family Festival,60.0,Seniors,Sharepoint,AC&F
Recreation,,2019-11-07T17:30:00.000,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Girls GEVA Volleyball Team Tryouts,Local Event,Sport,35.0,Teens,Sharepoint,Tier 2
Recreation,New York Presbyterian (CHALK),2019-11-16T11:00:00.000,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Community Based Event,Fitness,60.0,General Public,Sharepoint,Fitness
Recreation,NYCPARKS,2019-10-31T17:45:00.000,Manhattan,Recreation Center,Asser Levy Recreation Center,Glow in the Dark Paint Night Halloween Special,Community Based Event,Arts/Culture,90.0,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,Sharepoint,AC&F
Recreation,,2019-11-08T12:00:00.000,Manhattan,Recreation Center,Gertrude Ederele,Strictly Tango,Community Based Event,Arts/Culture,10.0,General Public,Sharepoint,Dance
Recreation,NYC Parks and Recreation,2019-11-16T09:00:00.000,Queens,Recreation Center,Al Oerter Recreation Center,NYC Parks Pickleball Tournement,Community Based Event,Sport,38.0,Seniors;#Adults,Sharepoint,Tier 3
Recreation,St. Mary's Rec Center,2019-11-21T18:00:00.000,Bronx,Recreation Center,St. Mary's Recreation Center,Community Day of Thanks,Agency Produced Event,Family Festival,175.0,Children;#Teens;#Young Adult;#Adults;#General Public;#Seniors,Sharepoint,AC&F
Recreation,NYC Parks and Recreation,2019-11-16T09:00:00.000,Queens,Recreation Center,Lost Battalion Hall Recreation Center,NYC Parks Pickleball Tournement,Community Based Event,Sport,30.0,Seniors,Sharepoint,Tier 3
Recreation,,2019-11-15T18:00:00.000,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Jean- Michael Basquiat,Community Based Event,Arts/Culture,17.0,Young Adult;#Adults;#Teens;#General Public;#Seniors,Sharepoint,AC&F
